,timestamp,open,high,low,close,volume,Real Lower Band,Real Middle Band,Real Upper Band
0,2018-10-17 11:30,271.7365,272.5,270.62,271.4417,450181,235.5079,275.0929,314.678
1,2018-10-17 11:00,275.19,275.52,269,272.1733,969611,235.5974,275.1702,314.7431
2,2018-10-17 10:30,276.7,279.6163,273.35,275.2165,922703,235.6862,275.2445,314.8027
3,2018-10-17 10:00,282.11,282.3415,275.5,276.4066,1759539,235.7472,275.2984,314.8495
4,2018-10-16 16:00,275.8,277.375,275.224,276.44,986301,235.7956,275.3447,314.8937
5,2018-10-16 15:30,275.45,276.17,274.3055,275.61,484965,235.841,275.3911,314.9412
6,2018-10-16 15:00,274.8,276.8,274.3838,275.47,664084,235.8935,275.4434,314.9932
7,2018-10-16 14:30,274.29,274.92,273.9,274.6449,425040,235.953,275.4971,315.0412
8,2018-10-16 14:00,272.32,274.45,271.76,274.26,545679,236.0192,275.557,315.0948
9,2018-10-16 13:30,272.22,273.6,272.05,272.32,462531,236.088,275.6192,315.1505
10,2018-10-16 13:00,270.535,272.31,269.8275,272.06,372184,236.1797,275.6948,315.2098
11,2018-10-16 12:30,271.94,271.94,270.12,270.58,357465,236.2767,275.7718,315.2668
12,2018-10-16 12:00,269.84,271.75,269.2842,271.75,432114,236.3936,275.8602,315.3267
13,2018-10-16 11:30,269.37,271.54,268.57,270,561397,236.4978,275.9406,315.3834
14,2018-10-16 11:00,268.63,269.75,266.885,269.37,672627,236.6208,276.0339,315.4469
15,2018-10-16 10:30,270.54,273.7457,268.19,268.5,1350794,236.7525,276.1317,315.5109
16,2018-10-16 10:00,264.75,271.29,262.505,270.7126,2143942,236.8906,276.2349,315.5792
17,2018-10-15 16:00,260.76,261.73,259.5001,259.5001,530404,237.0038,276.3245,315.6453
18,2018-10-15 15:30,262.14,263,260.33,260.76,403076,237.2693,276.4885,315.7078
19,2018-10-15 15:00,260.63,263.15,260.2182,262.417,562103,237.518,276.6448,315.7716
20,2018-10-15 14:30,259.5943,261.38,259.0514,260.7427,501384,237.7434,276.791,315.8385
21,2018-10-15 14:00,257.3328,260.028,256.53,259.6,356041,237.992,276.9486,315.9052
22,2018-10-15 13:30,257.72,258.25,256.84,257.0735,173707,238.2587,277.1145,315.9703
23,2018-10-15 13:00,257.07,258.8,256.72,257.56,278694,238.5622,277.2978,316.0334
24,2018-10-15 12:30,255.33,257.65,255.07,257.12,232059,238.8661,277.4787,316.0913
25,2018-10-15 12:00,257.297,257.297,255.35,255.4285,241182,239.1815,277.6636,316.1456
26,2018-10-15 11:30,255.9004,257.14,254.57,257.085,641448,239.53,277.8607,316.1914
27,2018-10-15 11:00,257.8378,258.1515,255.15,255.82,499918,239.8523,278.0468,316.2413
